2012 rank,City,State,2012 estimate,2010 Census
250,Gresham,Oregon,"108,956","105,594"
,,,,
251,Clearwater,Florida,"108,732","107,685"
,,,,
252,Lowell,Massachusetts,"108,522","106,519"
,,,,
253,West Jordan,Utah,"108,383","103,712"
,,,,
254,Pueblo,Colorado,"107,772","106,595"
,,,,
255,San Buenaventura (Ventura),California,"107,734","106,433"
,,,,
256,Fairfield,California,"107,684","105,321"
,,,,
257,West Covina,California,"107,440","106,098"
,,,,
258,Billings,Montana,"106,954","104,170"
,,,,
259,Murrieta,California,"106,810","103,466"
,,,,
260,High Point,North Carolina,"106,586","104,371"
,,,,
261,Round Rock,Texas,"106,573","99,887"
,,,,
262,Richmond,California,"106,516","103,701"
,,,,
263,Cambridge,Massachusetts,"106,471","105,162"
,,,,
264,Norwalk,California,"106,278","105,549"
,,,,
265,Odessa,Texas,"106,102","99,940"
,,,,
266,Antioch,California,"105,508","102,372"
,,,,
267,Temecula,California,"105,208","100,097"
,,,,
268,Green Bay,Wisconsin,"104,868","104,057"
,,,,
269,Everett,Washington,"104,655","103,019"
,,,,
270,Wichita Falls,Texas,"104,552","104,553"
,,,,
271,Burbank,California,"104,391","103,340"
,,,,
272,Palm Bay,Florida,"104,124","103,190"
,,,,
273,Centennial,Colorado,"103,743","100,377"
,,,,
274,Daly City,California,"103,690","101,123"
,,,,
275,Richardson,Texas,"103,297","99,223"
,,,,
276,Pompano Beach,Florida,"102,984","99,845"
,,,,
277,Broken Arrow,Oklahoma,"102,019","98,850"
,,,,
278,North Charleston,South Carolina,"101,989","97,471"
279,West Palm Beach,Florida,"101,903","99,919"
,,,,
280,Boulder,Colorado,"101,808","97,385"
281,Rialto,California,"101,740","99,171"
,,,,
282,Santa Maria,California,"101,459","99,553"
,,,,
283,El Cajon,California,"101,435","99,478"
,,,,
284,Davenport,Iowa,"101,363","99,685"
,,,,
285,Erie,Pennsylvania,"101,047","101,786"
,,,,
286,Las Cruces,New Mexico,"101,047","97,618"
,,,,
287,South Bend,Indiana,"100,800","101,168"
,,,,
288,Flint,Michigan,"100,515","102,434"
,,,,
289,Kenosha,Wisconsin,"100,150","99,218"
